english_word,native_translation,definition_zh
organ,器官；管风琴,"人体或动物体内具有特定功能的部位，如心脏或肺；一种大型的键盘乐器，通过空气吹过管子发声。"
pay,支付；付款,"为某物或某事付出金钱；支付债务或欠款。"
age,年龄；变老,"指人或事物存在的时间长短；也指经历时间而变老或成熟。"
section,部分；章节,整体中的一个部分或片段；书籍、文件或其他材料中的一个章节。
dress,连衣裙；穿衣,"一种通常由上衣裙子组成的女性服装；穿上衣服或服装。"
cloud,云,空气中由水滴或冰晶形成的 visible mass (visible mass)。
surprise,惊喜；出乎预料,"指突然发生的、令人吃惊或意外的事情，可以是好的（惊喜）或不好的。"
quiet,安静；寂静,表示缺少声音或声音很小；也指某地或某人不吵闹的。
stone,石头,"一种坚硬的、由矿物质组成的天然物体；也可指用于建筑或其他用途的石料块。"
tiny,极小的；微小的,"表示体积、大小非常小。"
climb,爬；攀登,"用手和脚向上移动，尤其是在陡峭或困难的表面上，例如山或墙。"
cool,酷；凉快的,"表示低温度但不是冷（例如 '凉快的天气'）；表示时尚、时髦或令人印象深刻（例如 '他看起来很酷'）；也可用作感叹词表示同意或赞同。"
design,设计,"创造新的东西或计划其如何运作或看起来。"
poor,贫穷的；可怜的,"指财产匮乏，没有钱或资源；也可指不幸的或值得同情的人或事物。"
lot,许多；很多,"表示大量的或很多数量。"
experiment,实验；试验,"为了验证假设或探索未知而在受控条件下进行的过程或活动。"
bottom,底部；屁股,"物体或空间的最低部分；人类或动物的臀部。"
key,钥匙；关键,"用于开锁的金属或塑料工具；比喻重要、解决问题的因素或线索。"
iron,铁,"一种常用金属元素，符号是Fe，坚硬，银白色；也指熨斗，用来熨烫衣服。"
single,单一的；单个的；单身的,"表示只有一个，不是多个；表示未婚或无伴侣的。"
stick,棍子；棒；枝；粘住,一种细长的木头或其他材料的物体，例如树枝；也指将物体附着或固定在另一个物体上。
flat,平的；公寓房；平底鞋,"形容词表示表面平整或没有高低起伏；名词指一套完整的由多个房间组成的住房单元，通常位于较大的建筑内；名词也可指没有高跟的鞋子。"
twenty,二十,"数字，表示20。"
skin,皮肤,"覆盖在人或动物身体表面的一层组织。"
smile,微笑；笑容,"表示高兴、友好或愉快时的面部表情。"
crease,折痕；褶子,"物体表面因折叠或挤压形成的线状痕迹；衣服、布料等上的永久性褶纹。"
hole,洞；孔,"物体或表面上的空隙；地面上的坑。"
trade,贸易；交易,"买卖货物或服务；交换某物以换取其他东西。"
melody,旋律；曲调,"由一系列音符组成，按照特定的顺序和节奏排列，形成一段音乐。"
trip,旅行；绊倒,"指外出到某个地方再返回的过程；也指在行走时被物体绊住而失去平衡。"
office,办公室,履行职责或提供服务的场所；公司的办公地点。
receive,收到；接到,"表示接收或取得某物或信息，例如收到礼物或信件。"
row,行；划船,"指一排人或物；也指用浆划船前进的动作。"
mouth,嘴；口,"人体面部用于吃、说话和呼吸的器官。"
exact,精确的；确切的,"表示非常准确、没有错误的；与事实完全相符的。"
symbol,符号；象征,"代表某种意义、思想或事物的图形、文字或物体。"
die,死；死亡,"表示停止生命活动，不再活着；也可以指停止运作或结束。"
least,最少；最不,"表示数量、程度或重要性最低的，与 '最多' 相对。"
trouble,麻烦；烦恼,"指困难、问题或令人烦心的事；也可指使得事情复杂的行为。"
shout,大喊；叫喊,"用非常大的声音说话或发出声音，通常是表达愤怒、兴奋或为了吸引注意力。"
except,除了,"表示排除或不包括某个事物、人或情况。"
wrote,写了,"'write' 的过去式，表示在过去某个时间完成了书写动作。"
seed,种子,"植物的胚胎，通常包含贮存的食物，可以生长成新植物。"
tone,音；语气,声音的高低或语气的强弱，能传达情感或意义。
join,加入；参加,"表示加入一个团体、组织或活动；也可指连接或联合在一起。"
suggest,建议；暗示,"提出意见或想法供人考虑；间接表示或联想到某事。"
clean,干净；清洁,"指没有污垢、杂物或污染；使某物变得干净。"
break,打破；休息,"使某物成为碎片或不再完整；暂停活动以便放松或休息。"
lady,女士；夫人,"对女性的一种礼貌称呼；也可指贵族的、高贵的女性。"
yard,院子；码,"房屋或建筑物周围的一块空地；英语长度单位，等于三英尺或约91.4厘米。"
rise,升高；上涨；上升,"表示向上移动；数量或程度增加；太阳、月亮等的出现。"
bad,坏的；拙劣的；差的,"表示不好、不令人满意、质量差或不道德的。"
blow,吹；打击,"用嘴或风把气流送出；指一次有力的碰撞或打击。"
oil,油,"一种液体脂肪，常用于烹饪、润滑或作为燃料。"
blood,血,"动物或人血管中流动的红色液体。"
touch,触摸；触碰,"用手或其他身体部分接触某物；指感觉、联系或感动。"
grew,生长；增长,"是动词 grow 的过去式，表示过去发生‘生长’或‘增长’的行为。"
cent,美分,货币单位，等于百分之一美元。
mix,混合；混合物,"将不同事物放在一起变成一个整体；指混合后的东西。"
team,队；团队,"指一起工作或比赛的一群人。"
wire,电线；金属丝,"用来导电或传递信号的金属线；也指细长的金属条。"
cost,花费；成本,"指为某物付出的价钱或达到某事所需的代价（例如金钱、时间或精力）。"
lost,失去的；迷路的,"表示某物找不到了，不再拥有；或者表示找不到路或方向。"
brown,褐色；棕色,"一种颜色，介于红色和黄色之间，像泥土或巧克力。"
wear,穿；戴；穿着,"表示把衣服、鞋子、饰品等放在身上；指穿着或戴着某种物品的状态。"
garden,花园；园林,"通常指种植花卉、蔬菜或其他植物的户外区域，常用于休闲或观赏。"
equal,平等的；相等；等于,"表示数量、大小、价值、地位等相同或相等；也可以指能够或应该得到同样的机会或待遇。"
sent,发送；寄送,"'send' 的过去式和过去分词，表示将某物从一个地方传送到另一个地方，如寄信或发送文件。"
choose,选择；挑选,"从多个选项中决定要哪一个；挑选出来。"
fell,倒下；落下,"表示失去平衡，向下跌倒；也指从高处落下来。"
fit,合身；适合；健康的,"指衣物穿在身上大小正好；指某物或某事与另一物或事相配或合适；也可指身体健康。"
flow,流动；流出,"表示液体、气体或其他物质连续不断地向前移动或通过；也可指某种事物平稳或顺利地移动。"
fair,公平的；展览会,"公正；合理；或指大型的商品展览或娱乐活动。"
bank,银行；堤,"保管钱财或其他贵重物品的金融机构；河岸或湖泊的边缘。"
collect,收集；采集,"把分散的事物聚集到一起；蓄积，积攒。"
save,救；保存,"使某人或某物脱离危险；把数据或文件存到计算机里。"
control,控制,"指管理、指挥或影响某人或某事物，使其按照预定的方式运作。"
decimal,十进制的；小数的,基于十的数学系统；表示小于一的数值。
gentle,温柔的；轻柔的,"表示性格温和、善良、不高高在上；也可指动作轻缓、不粗暴。"
woman,女人；妇女,"一个成年女性人类。"
captain,船长；队长,"船、飞机或船员中的指挥者；运动队或其他团队的领导者。"
practice,练习；实践,"指为提高技能或熟练程度而反复做某事；也指将理论应用于实际行动。"
separate,分开；单独的,"表示将原本连接或在一起的人或事物分成不同的部分；也指彼此独立的。"
difficult,困难的；难的,"指不容易做、理解或通过的事情或问题。"
doctor,医生,治疗病人或动物的专业人士。
please,请,"表示请求、礼貌或强调，常用来使句子更客气或更有力。"
protect,保护,使其免受伤害或危险。
noon,中午,"一天的中间，大约是白天12点。"
whose,谁的,"疑问限定词或代词，用来询问某人拥有、属于或由某人做的事物。"
locate,定位；找出,"表示找到某物或某人的位置；也可以表示建立或设置在某处。"
ring,戒指；响；圈,"戴在手指上的环状饰物；声音发出或回响，尤其指电话响铃的声音；圆形或环状物。"
character,性格；角色；汉字,"指一个人的个性、品质或品德；也指戏剧、小说或电影中的人物；方块字，中文书写单位。"
insect,昆虫,"一种小动物，通常有六条腿和翅膀，例如蚊子、苍蝇或蜜蜂。"
caught,抓住了；被抓住,"动词 catch 的过去式和过去分词，表示成功抓住某物或某人；也指被发现或陷入某种情况。"
period,时期；句号,"指一段时间；也指用于句子末尾表示结束的标点符号。"
indicate,表示；指出,"显示或表明某事物存在或属实；指向或提及某事物。"
radio,收音机；广播,"一种接收无线电波并将其转换成声音的设备；通过无线电波传送声音信息（如新闻、音乐等）的服务或节目。"
spoke,辐条；说话（speak 的过去式）,轮子连接中心和边缘的每一根杆；表示过去说了什么（动词 speak 的过去式）。
atom,原子,"物质的最小基本组成单位，无法通过化学方法再分割。"
human,人类；人,"指智人这个物种或属于这个物种的个体。"
history,历史,研究过去事件的学科；指过去发生的一切事情。
effect,影响；结果,"指某事物所产生的作用、后果或影响。"
electric,电的；电动的,"指与电有关的或由电驱动的。"
expect,期待；预料,"认为某事很可能发生或到来；等待某事物的发生。"
crop,作物；庄稼,"指种植用于收获的植物，如谷物、蔬菜或水果；也可指一次收获的数量。"
modern,现代的；近代的,"指当前时代或最近的时代；也指与过去不同或先进的事物。"
element,元素；成分,"指构成物质的基本成分，或某个整体中的一部分。"
hit,击中；打；袭击,"用手或物体快速用力触碰某物；也指突然、猛烈的攻击。"
student,学生,学习的人，尤其是在学校或大学里学习的人。
corner,角落；街角,"指两个墙壁、边或表面的交界处，形成一个内角或外角；也指两条街相交的地方。"
party,聚会；政党,"指为了娱乐或庆祝而聚集在一起的人们；也可以指政治组织。"
supply,供应,提供某人或某物所需的东西；存货。
bone,骨头,人或动物身体内部的坚硬组织。
rail,铁路；铁轨,"一种交通系统，使用铺设在路基上的两根平行钢轨；也指这些钢轨本身。"
imagine,想象；设想,"在头脑中形成图像或想法，通常是关于未发生或不存在的事物；凭空构思。"
provide,提供；供给,"给出、赋予、预备好或使得某物可用或能被使用。"
agree,同意,"对某事表示肯定或赞成；与某人在想法上一致。"
thus,因此；所以,"表示结论，说明结果或推论。"
capital,首都；资本,"一个国家的政府所在地城市；用于指金钱、财产或资源，特别是用于投资或商业。"
won't,将不；不会,"is 'will not' 的缩写，表示将来不会发生的事情或将来的否定。"
chair,椅子,"一种有靠背的、供人坐的家具。"
danger,危险,"指可能受到伤害、损害或面临不安全状况的情况。"
fruit,水果,"植物的果实，种子生长在其中或附近，通常可以食用。"
rich,富有的；有钱的,"形容人拥有大量金钱、财产或其他有价值的东西；也形容富饶的、充足的。"
thick,厚的；浓的；密集的,形容物体有较大的厚度；形容液体或气体浓稠；形容物体很多且紧密地排列在一起。
soldier,士兵,"在军队中服役并接受训练以进行战斗的人。"
process,过程；处理,"指一系列动作或步骤，旨在达到特定结果；也可指处理或加工某物。"
operate,操作；运转,"控制机器、设备或系统使其工作；指组织或企业按照某种方式运作、经营。"
guess,猜；猜测,"试图对未知的事情做出判断或给出答案，通常没有绝对的把握。"
necessary,必要的；必须的,"指为了达到某个目的或结果而不可缺少、非有不可的事情或条件。"
sharp,锋利的；尖锐的；急剧的；敏锐的,"形容物体有尖的边缘或末端，容易切割或刺穿；形容变化快速或明显；形容感觉、智力或视力敏锐。"
wing,翅膀,鸟类、昆虫或蝙蝠等动物用于飞行的身体部位。
create,创造；创建,"使某物存在；设计并制造出新的东西。"
neighbor,邻居,"住在附近的人。"
wash,洗,"用水或其他液体清洁（某物）；也可指洗衣服或其他物品。"
bat,蝙蝠；球拍；蝙蝠棍,"一种夜间飞行的哺乳动物；用来击球的运动器材；一种用作武器的短棍。"
rather,宁愿；颇；相当,"表示宁愿做某事（例如 '宁愿去'）；表示程度（例如 '相当好'）。"
crowd,人群；群众,"表示许多人聚集在一起，尤指数量很多且拥挤的情况。"
corn,玉米,"一种谷物，通常呈黄色，长在玉米穗上，可食用。"
compare,比较,找出不同或相似之处的行为；权衡或评估。
poem,诗,"文学的一种形式，通常有韵律和节奏，表达情感或想法。"
string,绳子；一串,"由细线、纤维拧成的长条，用于捆绑、拉动或连接；也可以指一系列相关的物品或事件。"
bell,铃；钟,"一种发出响声的金属物体，通常呈杯形，内部有钟舌；由撞击发出的声音。"
depend,依靠；取决于,"表示依赖某人或某物；表示某事的结果由另一件事决定。"
meat,肉,"人和动物的肌肉和脂肪，通常用作食物。"
rub,擦；揉,"用手或其他东西在表面上来回移动；按摩或揉搓身体部位。"
tube,管子；地铁,"圆柱形的中空物体，常用于传输流体或气体；在英国指地下铁路。"
famous,有名的；著名的,"表示广为人知且常被谈论的。"
dollar,美元,一种西方国家的货币单位，尤指美国、加拿大和澳大利亚的货币。
stream,溪流；流动,"指狭小的水源，通常比河流小；也可指连续不断的移动或流动（例如 '信息流'）。"
fear,害怕；恐惧,"一种由危险或威胁引起的令人不快的强烈情感。"
sight,视力；景象,"指看见东西的能力；也指看到的事物或景色。"
thin,薄；瘦,"表示物体或材料的厚度很小；也指人或动物不胖，肌肉不发达。"
triangle,三角形,"一种有三条边和三个角的平面图形。"
planet,行星,"一种环绕恒星运行，自身没有光，体积足够大以清除其轨道附近的其他天体的天体。"
hurry,匆忙；赶紧,"表示行动快速或急于完成某事。"
chief,首要的；首领,"指最重要的、主要的；或指团体的领导者。"
colony,殖民地,"由另一国家统治的特定区域或一群生活在海外并受其母国统治的人。"
clock,时钟,"一种显示时间的装置，通常有指针和刻度。"
mine,我的；矿,"表示属于我的东西；也指埋在地下的煤、金属或宝石等；还可以指在地下挖矿。"
tie,系；领带,"表示用绳子、带子等将物体连接或固定；也指男士佩戴在衬衫领子下的装饰品。"
enter,进入；输入,通过门或入口进入一个地方；将信息或数据输入到计算机或系统中。
major,主要的；重大的,"指重要的、主要的或显著的；在大学里指主修的科目或专业。"
fresh,新鲜的；清新的,"表示刚生产出来或采摘，没有变质的；也表示空气或感觉洁净、凉爽。"
search,搜索；寻找,"努力找到人或物；在某处仔细寻找。"
send,发送；寄送,"将某物从一个地方通过邮件、快递或电子方式送到另一个地方。"
yellow,黄；黄色的,"像阳光或柠檬一样的颜色；通常指这种颜色或具有这种颜色的事物。"
gun,枪,"一种发射子弹或其他投射物的武器。"
allow,允许；让,"准许或授权某人做某事；同意某事发生。"
print,打印；印刷,"在纸上或其他材料上用墨水或其他物质留下文字、图像或标记；通常指使用打印机或印刷机进行的操作。"
dead,死的；死亡的,"表示没有生命，不再活着；指已经去世或不再运作的。"
spot,地点；景点；斑点,"表示某个特定的位置或地方；也指皮肤或表面上的小块痕迹或颜色差异。"
desert,沙漠；抛弃,"一片很少或没有植物生长的干旱土地；动词，表示放弃或抛弃某人或某事，尤其是在需要帮助时。"
suit,西装,"一种正式服装，通常包括夹克和裤子或裙子，为同一面料制成。"
current,当前的；电流,"指当前正在发生或存在的；指电荷的流动。"
lift,举起；提升；电梯,"向上移动（某物或某人）；增加或提高某物；一种向上移动人或物的机器或装置，通常在建筑物内使用。"
rose,玫瑰花；蔷薇科植物,一种带有刺且通常开着红色或粉色花的植物，常用于表达爱意或欣赏。
continue,继续；持续,"表示某事没有停止，而是保持进行或存在的状态；表示在中断后恢复。"
block,块；街区；阻碍,表示一块坚实的材料；城市中的一个区域，由街道环绕；或指阻止或妨碍某事发生。
chart,图表；图样,"一种以图形方式表示信息或数据的图或表格；也可以指纸做的地图。"
hat,帽子,"一种戴在头上的物品，用于保暖、遮阳或装饰。"
sell,卖,"以金钱或其他物品换取商品或服务。"
success,成功,"达到预期目标或结果的状态；指某件事情取得了好的结果。"
company,公司；陪伴,"指为了商业或经济目的而联合起来的团体或组织；也指陪伴或在一起。"
subtract,减；减去,"从一个数中去掉另一个数。"
event,事件；活动,"指发生的事情；或指经过策划、有组织进行的活动。"
particular,特定的；特别的,"表示某个具体的、非普遍的；表示不同寻常或值得注意的。"
deal,交易；处理,"指商业上的买卖行为或协议；也指处理或解决问题。"
swim,游泳,"在水中用身体移动的行为。"
term,术语；定期,"指一个在某一领域有特定含义的词语或短语；指一段时间或任期。"
opposite,相反的；对面,表示与某物完全不同或相对；指某物在另一物的对面。
wife,妻子；太太,"已婚的女性，指一个人的配偶。"
shoe,鞋,"用来保护和支撑脚的物品， обычно由皮革、布料或其他材料制成，穿在脚上。"
shoulder,肩膀；肩部,"人体躯干与手臂相连的部分。"
spread,传播；蔓延；涂抹,"表示东西向外扩散、散开；也指病毒、信息等扩散；还指将酱料等涂在表面上。"
arrange,安排；整理,"使事情有条理或按计划进行；整理物品使它们整齐有序。"
camp,露营；营地,"指在帐篷或户外住宿的场所或活动；也可指为了特定目的而聚集在一起的团体场所或聚集的人们。"
invent,发明；创造,"创造出前所未有的新事物、新方法或新机器等。"
cotton,棉花,"一种植物，其棉絮常用作纺织原料。"
born,出生,"指来到人世或产生；通常用于被动语态。"
determine,确定；决定,"找出真相或事实；做出选择或决定。"
quart,夸脱,"一种容量单位，等于四分之一加仑，在美国约等于0.946升，英国约等于1.136升。"
nine,九,"表示数字9，是8加1的结果。"
truck,卡车；运货汽车,"一种大型的、通常用来运载货物的机动车辆。"
noise,噪音；响声,"表示令人不悦的或响亮的声音。"
level,水平；等级,"表示事物的高低程度或所处的位置；也指程度、标准或级别。"
chance,机会,"成功的可能性；碰运气的机会。"
gather,收集；聚集,"将分散的人或物集中起来；人们为了特定目的而聚在一起。"
shop,商店；购物,"一个出售商品的场所；进行购买的行为。"
stretch,伸展；拉长,"使变长或变宽；舒展身体部位（例如手臂或腿）。"
throw,扔；抛,"用手快速有力地将某物移动到远处；以特定的方式移动身体部位。"
shine,发光；照耀,"发出或反射光线；用光照射。"
property,财产；房产,"拥有或属于某人的东西，尤其是土地或建筑物。"
column,列；柱,"指表格中的垂直部分（如电子表格中的列）；也指建筑物中起支撑作用的垂直构件。"
molecule,分子,"物质的最小单位，由原子组成并保持物质的化学性质。"
select,选择；挑选,"从多个选项中决定或选取一个或多个。"
wrong,错；错误的,"表示不正确、有缺点或偏离事实或标准的。"
gray,灰色,表示颜色的词，介于黑色和白色之间。
repeat,重复,"再次做或说某事；同样的事情再次发生。"
require,需要；要求,"表示必须拥有或做某事；表示强制性的需求或规定。"
broad,宽广的；广泛的,"表示面积很宽或范围很大；也指事物涉及的范围广泛。"
prepare,准备,"为将要发生的事情或活动做安排或预备。"
salt,盐,"一种白色的晶体物质，主要成分是氯化钠，常用于烹饪以增加食物的味道或作为防腐剂。"
nose,鼻子,"面部中央突出的用来闻和呼吸的器官。"
plural,复数,"表示不止一个（适用于名词和动词）的语法形式。"
anger,愤怒；生气,"一种强烈的不愉快情绪，通常由受到伤害或不满引起。"
claim,声称；索赔,"表示断言某事属实，尤指未经证实；或表示要求获得某物作为自己的权利（如钱或财产）。"
continent,洲；大陆,"指地球上非常大的陆地块，如亚洲、欧洲、非洲等。"
oxygen,氧气,"一种没有颜色、没有气味的气体，是空气的主要成分之一，对生物生存非常重要。"
sugar,糖,"一种甜味、通常由植物提取的物质，用于食物和饮料中，例如加在咖啡或茶里。"
death,死亡；去世,"生命的终结；不再活着的状态。"
pretty,漂亮；相当,"表示外表美观、可爱的；也可表示程度，意思是“相当、颇为”。"
skill,技能；技巧,"熟练完成某项任务的能力或本领。"
women,女人；妇女,"成年女性；一个或多个成年女性。"
season,季节,一年中的一个时期，通常因为天气或气候而有所不同，例如春、夏、秋、冬。
solution,解决办法；溶液,"指解决问题的方法或答案；也指两种或多种物质混合后形成的均匀的液体。"
magnet,磁铁,一种能够吸引含铁物质的物体。
silver,银,"一种光亮的白色贵金属；也指用这种金属制成的物品或颜色。"
thank,谢谢；感谢,"表示对帮助或好意的回应；表示对某人或某事的感激之情。"
branch,树枝；分公司；分支机构,"植物主干或大枝上长出的小枝；公司或组织在其他地方的分支或办事处；学科或领域的不同部分。"
match,匹配；比赛,"表示两个人或事物相符或和谐；也指体育运动中的竞争性比赛。"
suffix,后缀,"加在词尾，改变词的意义或词性的一部分。"
especially,尤其；特别,"用于强调某事特别突出或与众不同。"
fig,无花果,"一种软的、甜的果实，里面有很多小种子。"
afraid,害怕；恐怕,"感到恐惧、担心或胆怯；也可表示担心事情会发生（例如 '恐怕要下雨了'）。"
huge,巨大的；庞大的,"指非常大、非常巨大或规模宏大的。"
sister,姐妹；姐姐；妹妹,"同父母所生的女性；年纪比自己大的称姐姐，比自己小的称妹妹。"
steel,钢；钢铁,"一种坚硬、坚固的合金，主要由铁和碳组成，常用于建造、制造工具等。"
discuss,讨论,"指两人或多于两人就某个问题或话题交换意见或观点。"
forward,向前；转寄,"朝着前面的方向；把信件或信息发送给另一个人。"
similar,相似的；类似的,"表示事物之间具有共同的特征、属性或外观，但不完全相同。"
guide,引导；向导,"指带领或指导某人去某个地方或做某事；也指提供指导或建议的人或物。"
experience,经历；经验,"指亲身参与或感受某事的过程；也指从过去发生的事情中获得的知识或技能。"
score,分数；得分；比分,记录或取得的点数，尤其在比赛中；也可指测试或考试的成绩。
apple,苹果,"一种圆形的水果，通常红色或绿色，内部多汁、白色。"
bought,买；购买,"'buy' 的过去式和过去分词，表示已经完成购买的行为。"
led,led,"指铅笔内部的石墨芯；也指一种发光二极管，常用于照明。"
pitch,投；音高；沥青,"（作为动词）投掷、抛出；（作为名词）声音的音高或高低；一种黑色、粘稠的物质。"
coat,外套；大衣,"穿在外面的衣服，用来保暖或防护。"
mass,质量；块；团,"表示物体的数量或大小；指一大块或一团东西；在科学中特指物体所含物质的量。"
card,卡片；纸牌,"一种小的、通常为矩形、用厚纸或塑料制成的薄片，常用于游戏、标识或信息。"
band,乐队；带,"由一群乐手组成的音乐团体；指狭长的织物、纸张或其他材料条。"
rope,绳子；索,"由许多股纤维或线拧成的粗索，用于捆绑、拉拽或悬挂物体。"
slip,滑倒；溜走,"表示失去平衡而突然跌倒；也表示秘密地、不被注意地离开或移动。"
win,赢；获胜,"通过竞赛、努力或战斗取得胜利。"
dream,梦；梦想,"指在睡眠中出现在脑海里的图像、声音或感觉；也可以指希望实现的事情或理想。"
evening,晚上,"一天中太阳落山到睡觉前的一段时间。"
condition,条件；状况,"指事物存在或进行所必需的因素或情况；也指人或事物的状态或情况。"
feed,喂；饲养；给予,"表示给人类、动物或植物食物；也可以表示供给或提供某物。"
tool,工具,"用于执行特定任务的物品，可以是手工的或机械的。"
total,总计；全部,"表示整体的数量或数目；表示完全的、彻底的。"
basic,基本的；初级的,"指最简单、构成基础的部分或知识；指处于开始阶段、不复杂的。"
smell,闻；气味,"用鼻子感知（气味）；一种通过鼻子感知到的特性或芳香。"
valley,山谷；谷地,"两座山之间低洼的长条形区域。"
nor,也不；也没,"用于连接两个否定的句子或短语，表示两者都不真实或都不发生。"
double,双；双重的,"表示数量或性质是原有的两倍；也可以指两个相同或相似的事物组成的。"
seat,座位,"供人坐的地方；椅子或长椅。"
arrive,到达；抵达,"指人或物到达某个地方。"
master,大师；师傅,"指在某领域技艺精湛、经验丰富的人；也指旧时授艺的老师。"
track,轨道；跟踪,"指火车或赛车行驶的道路；也可指追踪或监测人、动物或事物的行踪。"
parent,父母,"指父亲或母亲，或两者；养育孩子的人。"
shore,岸；海岸,"指陆地与大片水域（如海洋、湖泊）交界的地方。"
division,部门；分歧；除法,"指组织或群体的特定部分；意见或立场的不同；数学中的除运算。"
sheet,床单；纸,"一块用于盖在床上的布；薄而平的一大片纸张。"
substance,物质；实质,"构成事物的基础；事物的内在内容或本质。"
favor,恩惠；偏爱,"表示给予的帮助或善意行为；也指对某物的偏向或特别喜爱。"
connect,连接；连通,"将两个或更多事物物理或逻辑地连接在一起，使它们能够互动或沟通。"
post,邮寄；职位,"表示通过邮政服务发送信件或包裹；或指工作职位。"
spend,花费；度过,"表示用钱购买东西或支付服务；也表示花时间做某事或在某个地方。"
chord,和弦,"在音乐中，两个或多个音符同时发声的组合。"
fat,胖的；脂肪,"表示身体有较多脂肪，体重超过正常水平；也指动物或植物体内的油性物质。"
glad,高兴的；乐意的,"表示感到快乐、愉快；也表示乐意做某事或某样事情。"
original,原来的；最早的,"表示最初的、原始的，未被改变或复制的；也指新颖独特的。"
share,分享；分担,"将某物（如食物、信息）与他人共享；与他人共同承担某事物（如责任、费用）。"
station,车站；站,"公共交通工具停靠的地方，乘客上下车。"
dad,爸爸；父亲,"对父亲的称呼。"
bread,面包,"一种由面粉和水烘烤而成的食物，是主食之一。"
charge,收费；指控；充电,"表示索要金钱以提供服务或商品；表示正式指责某人犯错或犯罪；表示为电池或其他设备提供电力。"
proper,适当的；正确的,"表示符合规矩、要求或标准的；也可以指正确无误的。"
bar,酒吧；栅栏,"a long counter to serve drinks or food; a long piece of metal or wood, often used as a barrier or to prevent entry."
offer,提供；提供,"表示提出或给予某物供人接受或考虑；也可指提出做某事。"
segment,段；部分,"表示整体中的一部分，常指长度或区域的划分；也可指节段或切片。"
slave,奴隶,"一个被迫为另一个人工作，没有自由的人；受人控制或支配的人。"
duck,鸭子,一种水鸟，有短腿、长脖子和扁平的嘴，常在水边生活。
instant,瞬间；立即的,"指很短的时间；或形容事情马上发生或完成。"
market,市场；市集,"买卖商品或服务的地方；指某类商品或服务的需求。"
degree,度；程度,"表示测量角度、温度或其他量的单位；也指事情的程度或水平。"
populate,居住于；填充,"表示居住在某地；表示填充数字或信息到某个区域。"
chick,小鸡；雏鸟,"指刚孵化出来的鸟，尤指鸡；也可指年轻的女性（非正式）。"
dear,亲爱的；昂贵的,用于称呼或表示喜爱的人；或指价格很高。
enemy,敌人,"指与某人或某国为敌的人或群体。"
reply,回复；回答,"对问题、信件或陈述给出口头或书面回应。"
drink,喝；饮料,"指饮用液体；也可指供饮用的液体，如水、牛奶或果汁。"
occur,发生；出现,"表示事件、情况或现象的实际发生或出现。"
support,支持；支撑,"帮助某人或某事，使其能够运作、持续或成功；提供物理上的支撑。"
speech,说话；演讲,口头表达；在公众面前进行的正式讲话。
nature,自然；大自然,"指世界上所有的事物，除了人类制造的；也可指某人或某物的基本特征。"
range,范围；射程,"表示事物变化的界限或区域；也可指武器的射程。"
steam,蒸汽；蒸气,"水加热至沸点时产生的气体；也可指利用蒸汽烹饪或加热。"
motion,运动；移动,"改变位置或姿势的过程；物理上的移动。"
path,路径；小路,"一条线或一个方向，通常是走出来的或计划好的，连接两个地方。"
liquid,液体,"一种状态，不像固体那样有固定形状，也不像气体那样分散，可以流动。"
log,日志；原木,"表示事件的记录，尤指在计算机系统或旅程中的记录；也可以指被砍伐的粗树干。"
meant,意指；意思是,"指（某人或物）表达或传达某个意思；指原意或本意。"
quotient,商,"数学中，一个数被另一个数除后得到的结果。"
teeth,牙齿,"指人类或其他动物嘴里用来咀嚼食物的硬的白色结构（单数的复数形式）。"
shell,壳；贝壳,"动物（如蜗牛或乌龟）身体外面坚硬的覆盖物；特别指海边找到的空贝类动物外壳。"
neck,脖子；颈,"连接头部和身体的部分。"
